image,class,confidence
angle_0.png,0.0,0.024
angle_0.png,1.0,0.007
angle_0.png,0.0,0.005
angle_10.png,0.0,0.022
angle_10.png,0.0,0.011
angle_10.png,1.0,0.009
angle_10.png,0.0,0.008
angle_10.png,0.0,0.006
angle_10.png,1.0,0.006
angle_100.png,0.0,0.017
angle_100.png,0.0,0.016
angle_100.png,0.0,0.015
angle_100.png,0.0,0.013
angle_100.png,0.0,0.011
angle_100.png,0.0,0.008
angle_100.png,0.0,0.008
angle_100.png,0.0,0.007
angle_100.png,0.0,0.006
angle_110.png,0.0,0.031
angle_110.png,0.0,0.008
angle_110.png,0.0,0.007
angle_120.png,1.0,0.011
angle_130.png,0.0,0.007
angle_130.png,0.0,0.006
angle_140.png,,
angle_150.png,,
angle_160.png,0.0,0.02
angle_170.png,1.0,0.011
angle_170.png,0.0,0.006
angle_180.png,,
angle_190.png,,
angle_20.png,,
angle_200.png,,
angle_210.png,,
angle_220.png,1.0,0.012
angle_220.png,0.0,0.01
angle_230.png,0.0,0.008
angle_230.png,0.0,0.007
angle_230.png,0.0,0.005
angle_230.png,1.0,0.005
angle_240.png,,
angle_250.png,,
angle_260.png,,
angle_270.png,1.0,0.01
angle_270.png,0.0,0.007
angle_270.png,0.0,0.005
angle_280.png,0.0,0.053
angle_280.png,0.0,0.029
angle_280.png,0.0,0.02
angle_280.png,0.0,0.014
angle_280.png,0.0,0.013
angle_280.png,1.0,0.008
angle_280.png,0.0,0.006
angle_290.png,,
angle_30.png,0.0,0.006
angle_300.png,0.0,0.016
angle_300.png,0.0,0.007
angle_300.png,0.0,0.006
angle_310.png,,
angle_320.png,0.0,0.02
angle_320.png,0.0,0.019
angle_320.png,0.0,0.014
angle_320.png,0.0,0.009
angle_320.png,0.0,0.009
angle_320.png,0.0,0.008
angle_320.png,0.0,0.006
angle_320.png,0.0,0.005
angle_330.png,0.0,0.036
angle_330.png,0.0,0.024
angle_330.png,0.0,0.022
angle_330.png,0.0,0.021
angle_330.png,0.0,0.012
angle_330.png,0.0,0.01
angle_340.png,1.0,0.005
angle_350.png,0.0,0.031
angle_350.png,0.0,0.021
angle_350.png,0.0,0.013
angle_350.png,0.0,0.01
angle_350.png,0.0,0.008
angle_350.png,0.0,0.007
angle_350.png,0.0,0.007
angle_350.png,0.0,0.006
angle_40.png,,
angle_50.png,0.0,0.014
angle_50.png,0.0,0.012
angle_50.png,0.0,0.012
angle_50.png,0.0,0.009
angle_50.png,1.0,0.005
angle_60.png,0.0,0.065
angle_60.png,0.0,0.038
angle_60.png,0.0,0.024
angle_60.png,0.0,0.023
angle_60.png,0.0,0.014
angle_60.png,1.0,0.008
angle_60.png,0.0,0.006
angle_60.png,1.0,0.006
angle_60.png,0.0,0.006
angle_70.png,,
angle_80.png,0.0,0.012
angle_80.png,0.0,0.011
angle_80.png,0.0,0.008
angle_80.png,0.0,0.007
angle_80.png,0.0,0.006
angle_90.png,,
