epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,290.119,2.34475,4.71501,1.41553,0.00378,0.75045,0.1032,0.04355,1.95982,3.76125,1.27667,0.000547495,0.000547495,0.000547495
2,532.131,2.13562,2.9231,1.37945,0.79279,0.32445,0.30846,0.11463,2.10002,1.96331,1.38101,0.000993949,0.000993949,0.000993949
3,812.777,2.11045,2.31479,1.42413,0.85532,0.34918,0.51727,0.20744,2.10302,1.62734,1.39667,0.00133038,0.00133038,0.00133038
4,1138.75,2.08016,1.90406,1.37242,0.86387,0.35054,0.541,0.23142,2.03604,1.50903,1.37092,0.0011719,0.0011719,0.0011719
5,1332.02,2.01186,1.56273,1.36336,0.7336,0.31793,0.39791,0.14822,2.22257,1.6054,1.40017,0.00100687,0.00100687,0.00100687
6,1521.32,1.99548,1.46929,1.33397,0.87407,0.36141,0.511,0.19066,2.06877,1.32195,1.34537,0.000841835,0.000841835,0.000841835
7,1711.91,1.94401,1.3369,1.29864,0.51347,0.59737,0.59896,0.25155,1.99431,1.2439,1.29568,0.000676802,0.000676802,0.000676802
8,1903.67,1.89637,1.23679,1.27177,0.57576,0.59486,0.58917,0.28685,1.96977,1.13067,1.32285,0.000511769,0.000511769,0.000511769
9,2094.04,1.87219,1.22816,1.27646,0.88387,0.48596,0.62916,0.29838,1.88998,1.11728,1.26026,0.000346736,0.000346736,0.000346736
10,2284.46,1.80818,1.13887,1.22533,0.73139,0.58963,0.6393,0.30187,1.85855,1.08434,1.23666,0.000181703,0.000181703,0.000181703
